EV (AVG)	EV (365)	Game	Player	IN	FD	AVG	bet365	DK	MGM	CZ	Kambi
-13.1		SD @ HOU	Fernando Tatis								
-14.9		SEA @ TOR	Cal Raleigh								
-16.7		STL @ NYM	Pete Alonso								
-17.1		STL @ NYM	Juan Soto								
-17.6		MIA @ PHI	Kyle Schwarber								
-17.8		SD @ HOU	Manny Machado								
-18.0		MIN @ ATL	Byron Buxton								
-18.5		MIN @ ATL	Matt Olson								
-18.8		SD @ HOU	Yordan Alvarez								
-18.9		SEA @ TOR	Anthony Santander								
-19.5		SD @ HOU	Christian Walker								
-19.9		MIN @ ATL	Marcell Ozuna								
-20.7		SEA @ TOR	Julio Rodriguez								
-21.5		MIN @ ATL	Austin Riley								
-22.8		SD @ HOU	Jose Altuve								
-23.2		STL @ NYM	Francisco Lindor								
-23.6		KC @ DET	Spencer Torkelson								
-23.9		MIA @ PHI	Bryce Harper								
-23.9		STL @ NYM	Mark Vientos								
-24.2		SEA @ TOR	Randy Arozarena								
-24.3		SEA @ TOR	Jorge Polanco								
-25.0		MIA @ PHI	Matt Mervis								
-25.1		MIN @ ATL	Michael Harris								
-25.9		SEA @ TOR	Luke Raley								
-27.6		SEA @ TOR	Vladimir Guerrero								
-28.2		WSH @ COL	Michael Toglia								
-28.9		SD @ HOU	Isaac Paredes								
-29.2		MIN @ ATL	Jarred Kelenic								
-29.5		MIN @ ATL	Trevor Larnach								
-29.6		SD @ HOU	Yainer Diaz								
-31.0		SD @ HOU	Jeremy Pena								
-31.1		MIA @ PHI	Max Kepler								
-31.1		SD @ HOU	Jake Meyers								
-31.1		MIN @ ATL	Sean Murphy								
-31.3		STL @ NYM	Brandon Nimmo								
-31.7		MIA @ PHI	Griffin Conine								
-33.1		MIA @ PHI	Kyle Stowers								
-33.1		SD @ HOU	Zach Dezenzo								
-33.4		WSH @ COL	James Wood								
-33.5		WSH @ COL	Hunter Goodman								
-33.7		SD @ HOU	Jason Heyward								
-34.2		MIA @ PHI	Nick Castellanos								
-34.3		SEA @ TOR	Dylan Moore								
-34.9		SD @ HOU	Gavin Sheets								
-35.4		WSH @ COL	Keibert Ruiz								
-35.4		SD @ HOU	Xander Bogaerts								
-35.7		SEA @ TOR	Alan Roden								
-36.4		SEA @ TOR	Rowdy Tellez								
-36.9		SD @ HOU	Cam Smith								
-36.9		MIN @ ATL	Ozzie Albies								
-37.1		KC @ DET	Andy Ibanez								
-38.0		WSH @ COL	Josh Bell								
-38.2		WSH @ COL	Ezequiel Tovar								
-38.8		MIN @ ATL	Ryan Jeffers								
-38.9		MIA @ PHI	Jt Realmuto								
-38.9		KC @ DET	Gleyber Torres								
-39.3		WSH @ COL	Ryan Mcmahon								
-39.4		KC @ DET	Justyn Henry Malloy								
-39.8		STL @ NYM	Tyrone Taylor								
-40.3		SEA @ TOR	Andres Gimenez								
-40.4		KC @ DET	Dillon Dingler								
-41.0		MIN @ ATL	Carlos Correa								
-41.7		KC @ DET	Kerry Carpenter								
-41.8		KC @ DET	Javier Baez								
-42.2		MIN @ ATL	Brooks Lee								
-42.3		MIA @ PHI	Bryson Stott								
-43.0		WSH @ COL	Nathaniel Lowe								
-43.1		WSH @ COL	Luis Garcia								
-43.3		SD @ HOU	Martin Maldonado								
-43.3		STL @ NYM	Jesse Winker								
-43.4		STL @ NYM	Brett Baty								
-44.1		WSH @ COL	Mickey Moniak								
-44.4		MIN @ ATL	Ty France								
-44.7		WSH @ COL	Adael Amador								
-44.8		SEA @ TOR	Jp Crawford								
-45.4		SEA @ TOR	George Springer								
-45.4		WSH @ COL	Kyle Farmer								
-45.7		MIN @ ATL	Harrison Bader								
-45.8		STL @ NYM	Luis Torrens								
-45.9		MIN @ ATL	Edouard Julien								
-46.4		MIA @ PHI	Otto Lopez								
-46.6		WSH @ COL	Alex Call								
-47.2		SEA @ TOR	Bo Bichette								
