Player	AVG	draftkings	fanduel	cz	bet365	kambi	mgm	fpros	yahoo
Sam Darnold	13.9	-	-	-	13.5	-	-	14.4	-
Josh Allen	13.0	12.5	-	-	12.5	-	-	14.0	-
Jayden Daniels	12.9	12.5	-	-	12.5	-	-	13.8	-
Trevor Lawrence	12.5	12.5	-	-	12.5	-	-	12.5	-
Will Levis	12.5	12.5	-	-	12.5	-	-	12.4	-
Bo Nix	12.3	-	-	-	12.5	-	-	12.1	-
Caleb Williams	12.1	11.5	-	-	11.5	-	-	13.4	-
Geno Smith	11.7	-	-	-	11.5	-	-	11.9	-
Baker Mayfield	11.6	11.5	-	-	11.5	-	-	11.9	-
Derek Carr	11.3	11.5	-	-	11.5	-	-	10.9	-
Tua Tagovailoa	11.2	10.5	-	-	10.5	-	-	12.5	-
Matthew Stafford	11.2	10.5	-	-	10.5	-	-	12.5	-
Jalen Hurts	11.0	10.5	-	-	10.5	-	-	12.1	-
Bryce Young	11.0	10.5	-	-	10.5	-	-	11.9	-
Jordan Love	10.8	10.5	-	-	10.5	-	-	11.5	-
Deshaun Watson	10.8	9.5	-	-	9.5	-	-	13.3	-
Jared Goff	10.5	10.5	-	-	10.5	-	-	10.6	-
Kyler Murray	10.4	9.5	-	-	9.5	-	-	12.1	-
Dak Prescott	10.3	9.5	-	-	9.5	-	-	12.0	-
Joe Burrow	10.2	9.5	-	-	9.5	-	-	11.5	-
Patrick Mahomes	10.1	9.5	-	-	9.5	-	-	11.2	-
Anthony Richardson	10.1	9.5	-	-	9.5	-	-	11.4	-
Drake Maye	10.1	-	-	-	-	-	-	10.1	-
Brock Purdy	9.9	9.5	-	-	9.5	-	-	10.8	-
Gardner Minshew	9.9	-	-	-	9.5	-	-	10.3	-
Cj Stroud	9.7	9.5	-	-	9.5	-	-	10.1	-
Justin Herbert	9.6	9.5	-	-	9.5	-	-	9.9	-
Kirk Cousins	9.2	8.5	-	-	8.5	-	-	10.5	-
Daniel Jones	9.2	8.5	-	-	8.5	-	-	10.6	-
Russell Wilson	8.9	-	-	-	8.5	-	-	9.4	-
Lamar Jackson	8.5	7.5	-	-	7.5	-	-	10.6	-
Aaron Rodgers	8.0	7.5	-	-	7.5	-	-	9.0	-
Jacoby Brissett	4.8	-	-	-	-	-	-	4.8	-
Aidan Oconnell	4.6	-	-	-	-	-	-	4.6	-
Justin Fields	3.1	-	-	-	-	-	-	3.1	-
Sam Howell	2.2	-	-	-	-	-	-	2.2	-
Nick Mullens	2.1	-	-	-	-	-	-	2.1	-
Jameis Winston	2.0	-	-	-	-	-	-	2.0	-
Drew Lock	1.8	-	-	-	-	-	-	1.8	-
Jarrett Stidham	1.8	-	-	-	-	-	-	1.8	-
Hendon Hooker	1.4	-	-	-	-	-	-	1.4	-
Skylar Thompson	1.4	-	-	-	-	-	-	1.4	-
Clayton Tune	1.4	-	-	-	-	-	-	1.4	-
Michael Penix	1.3	-	-	-	-	-	-	1.3	-
Mitchell Trubisky	1.3	-	-	-	-	-	-	1.3	-
Cooper Rush	1.3	-	-	-	-	-	-	1.3	-
Tyson Bagent	1.2	-	-	-	-	-	-	1.2	-
Kenny Pickett	1.2	-	-	-	-	-	-	1.2	-
Marcus Mariota	1.2	-	-	-	-	-	-	1.2	-
Mason Rudolph	1.2	-	-	-	-	-	-	1.2	-
Joe Flacco	1.1	-	-	-	-	-	-	1.1	-
Jake Browning	1.0	-	-	-	-	-	-	1.0	-
Jimmy Garoppolo	1.0	-	-	-	-	-	-	1.0	-
Davis Mills	1.0	-	-	-	-	-	-	1.0	-
Tyler Huntley	1.0	-	-	-	-	-	-	1.0	-
Easton Stick	1.0	-	-	-	-	-	-	1.0	-
Zach Wilson	1.0	-	-	-	-	-	-	1.0	-
Jaren Hall	1.0	-	-	-	-	-	-	1.0	-
Tommy Devito	1.0	-	-	-	-	-	-	1.0	-
Case Keenum	1.0	-	-	-	-	-	-	1.0	-
Trey Lance	1.0	-	-	-	-	-	-	1.0	-
Michael Pratt	1.0	-	-	-	-	-	-	1.0	-
Jordan Travis	1.0	-	-	-	-	-	-	1.0	-
Joe Milton	1.0	-	-	-	-	-	-	1.0	-
Kyle Allen	1.0	-	-	-	-	-	-	1.0	-
Sean Clifford	1.0	-	-	-	-	-	-	1.0	-
Mike White	1.0	-	-	-	-	-	-	1.0	-
Bailey Zappe	1.0	-	-	-	-	-	-	1.0	-
Josh Johnson	0.9	-	-	-	-	-	-	0.9	-
Joshua Dobbs	0.9	-	-	-	-	-	-	0.9	-
Tyrod Taylor	0.9	-	-	-	-	-	-	0.9	-
Taylor Heinicke	0.9	-	-	-	-	-	-	0.9	-
Mac Jones	0.9	-	-	-	-	-	-	0.9	-
Malik Willis	0.9	-	-	-	-	-	-	0.9	-
Kyle Trask	0.9	-	-	-	-	-	-	0.9	-
Andy Dalton	0.9	-	-	-	-	-	-	0.9	-
Spencer Rattler	0.8	-	-	-	-	-	-	0.8	-
Carson Wentz	0.7	-	-	-	-	-	-	0.7	-
Dorian Thompson Robinson	0.5	-	-	-	-	-	-	0.5	-
Taysom Hill	0.0	-	-	-	-	-	-	0.0	-
Jake Haener	0.0	-	-	-	-	-	-	0.0	-
Stetson Bennett	0.0	-	-	-	-	-	-	0.0	-
Sam Hartman	0.0	-	-	-	-	-	-	0.0	-
Tanner Mckee	0.0	-	-	-	-	-	-	0.0	-
Sam Ehlinger	0.0	-	-	-	-	-	-	0.0	-
Devin Leary	0.0	-	-	-	-	-	-	0.0	-
