	FPTS	TEAM	PLAYER	PTS	REB	AST	STL	BLK	TO
F1	60.6	MIL	Giannis Antetokounmpo	27.72	12.36	6.48	0.94	1.16	1.68
G1	60.5	LAL	Luka Doncic	30.74	8.62	8.34	1.87	0.3	2.22
G2	48.7	OKC	Shai Gilgeous Alexander	31.59	3.86	6.0	0.83	0.51	1.67
G3	45.6	LAC	James Harden	20.73	5.04	8.83	1.56	0.43	1.96
G4	43.8	ATL	Trae Young	23.66	2.2	11.0	0.63	0.16	2.02
F2	42.5	POR	Deni Avdija	19.98	8.45	4.43	1.19	0.43	1.61
F3	42.2	ORL	Paolo Banchero	23.83	6.89	4.38	0.65	0.41	1.67
G5	41.8	MIN	Anthony Edwards	25.92	3.89	5.32	0.74	0.43	1.47
G6	41.1	MIL	Damian Lillard	21.89	4.6	6.69	1.15	0.16	1.63
G7	40.8	PHX	Devin Booker	23.64	3.95	7.03	0.66	0.16	1.81
F4	40.4	PHX	Kevin Durant	24.0	5.54	4.04	0.65	0.61	1.74
F5	40.4	TOR	Scottie Barnes	18.06	6.49	4.83	1.47	0.9	1.75
G8	39.3	DAL	Quentin Grimes	21.72	5.48	3.74	1.09	0.61	1.37
G9	39.0	LAL	Austin Reaves	20.96	5.09	6.01	0.65	0.23	1.21
G10	38.6	CHA	Lamelo Ball	21.99	3.86	6.76	0.65	0.19	1.82
F6	38.5	CHA	Miles Bridges	20.66	6.65	3.87	0.6	0.57	1.4
F7	38.4	CLE	Evan Mobley	16.56	9.23	3.0	0.56	1.07	1.4
C1	37.3	LAC	Ivica Zubac	15.32	10.82	1.79	0.63	0.69	0.87
F8	37.3	LAC	Kawhi Leonard	20.16	5.24	3.18	1.45	0.44	1.2
F9	37.0	MIN	Julius Randle	17.74	6.52	5.42	0.6	0.26	1.19
F10	36.8	OKC	Chet Holmgren	14.63	7.79	1.99	0.84	1.99	1.0
F11	36.6	ORL	Franz Wagner	21.23	5.31	3.99	0.65	0.25	1.28
G11	35.9	CLE	Donovan Mitchell	21.35	4.06	4.81	0.66	0.19	1.26
G12	35.4	ATL	Dyson Daniels	12.83	5.57	4.11	2.68	0.43	1.23
F12	34.4	ATL	Onyeka Okongwu	13.53	9.71	2.06	0.67	0.69	0.82
G13	33.8	POR	Anfernee Simons	21.0	2.33	4.76	1.03	0.16	1.37
F13	33.0	DAL	Naji Marshall	15.99	6.11	3.07	1.21	0.25	1.13
G14	32.9	CLE	Darius Garland	18.4	2.71	6.24	0.67	0.13	1.3
G15	32.9	POR	Shaedon Sharpe	18.09	4.62	3.27	1.12	0.28	1.21
G16	32.7	TOR	Rj Barrett	17.33	5.07	4.54	0.63	0.22	1.63
C2	32.4	CLE	Jarrett Allen	12.5	9.49	1.7	0.65	0.64	0.74
C3	32.4	TOR	Jakob Poeltl	11.59	7.6	2.5	1.2	1.03	1.07
C4	32.3	MIN	Rudy Gobert	11.31	9.36	1.63	0.64	1.07	0.64
C5	32.2	BKN	Nic Claxton	10.49	7.93	2.6	0.66	1.63	1.0
F14	31.7	DAL	Pj Washington	13.94	6.84	2.28	0.84	0.83	0.89
C6	31.5	UTAH	Walker Kessler	11.18	9.8	1.03	0.52	1.12	0.85
C7	31.3	CHA	Mark Williams	12.22	9.11	1.86	0.53	0.64	0.91
G17	31.1	DAL	Klay Thompson	17.65	4.43	2.7	0.7	0.51	0.89
C8	30.8	POR	Donovan Clingan	8.83	9.39	1.8	0.94	1.4	1.85
G18	29.1	DAL	Spencer Dinwiddie	13.6	3.5	5.03	0.93	0.21	0.77
F15	28.9	PHI	Guerschon Yabusele	11.78	8.03	2.39	0.6	0.32	1.27
F16	28.8	BKN	Cameron Johnson	16.95	3.8	2.86	0.67	0.35	1.17
C9	28.8	MIL	Brook Lopez	12.32	4.92	1.52	0.68	1.82	0.62
F17	28.6	POR	Toumani Camara	10.67	5.21	2.15	1.72	0.83	0.81
F18	28.5	MIN	Jaden Mcdaniels	12.88	5.48	1.88	1.18	0.54	0.65
G19	27.3	BKN	Dangelo Russell	14.13	1.84	5.73	0.65	0.4	1.33
G20	26.2	DAL	Max Christie	12.48	4.52	2.74	0.83	0.35	0.72
G21	26.1	UTAH	Isaiah Collier	10.41	2.07	8.13	0.63	0.19	2.04
G22	26.0	PHX	Bradley Beal	14.88	2.17	3.95	0.69	0.34	1.15
G23	25.0	UTAH	Collin Sexton	16.22	1.59	4.17	0.42	0.1	1.37
F19	24.4	UTAH	Lauri Markkanen	15.72	3.88	0.97	0.48	0.25	0.81
G24	24.1	MIN	Donte Divincenzo	12.45	2.06	4.27	0.74	0.24	0.77
C10	23.7	MIN	Naz Reid	13.31	3.18	1.67	0.63	0.66	0.78
C11	23.6	ORL	Wendell Carter	8.23	7.28	1.75	0.56	0.39	0.98
F20	23.2	BKN	Ziaire Williams	10.86	5.08	1.63	0.68	0.38	0.89
C12	23.2	PHX	Nick Richards	8.84	8.02	0.43	0.37	0.48	0.83
G25	23.0	ORL	Cole Anthony	11.6	3.45	2.78	0.64	0.47	1.23
G26	22.8	BKN	Keon Johnson	11.21	3.67	2.7	0.72	0.32	1.09
G27	22.6	LAC	Norman Powell	16.3	1.72	1.29	0.65	0.19	0.7
C13	21.1	LAL	Jaxson Hayes	8.63	5.53	0.81	0.53	0.66	0.6
F21	20.5	ATL	Zaccharie Risacher	11.49	3.42	1.2	0.57	0.35	0.66
F22	19.4	PHX	Ryan Dunn	9.43	4.2	0.76	0.57	0.47	0.57
F23	19.1	MIL	Taurean Prince	7.91	3.56	1.93	1.03	0.2	0.7
G28	19.1	CLE	Max Strus	8.69	3.79	2.19	0.49	0.2	0.66
F24	18.6	PHI	Justin Edwards	9.63	3.44	1.07	0.57	0.38	0.67
F25	17.6	LAL	Dorian Finney Smith	8.15	4.12	0.86	0.67	0.18	0.57
G29	17.1	DAL	Brandon Williams	6.91	3.14	3.65	-	-	-
G30	16.3	LAL	Gabe Vincent	9.4	1.54	1.87	0.59	0.19	0.59
G31	16.2	OKC	Cason Wallace	9.45	1.85	2.66	-	-	-
C14	16.2	PHX	Mason Plumlee	3.34	6.11	0.9	0.5	0.49	0.64
F26	15.7	PHX	Royce Oneale	5.98	3.67	1.5	0.62	0.23	0.61
G32	15.6	PHI	Ricky Council	9.92	3.82	-	-	-	-
G33	14.7	PHX	Tyus Jones	5.49	1.37	4.1	0.46	0.1	0.64
G34	13.7	ORL	Kentavious Caldwell Pope	7.65	1.74	0.93	0.61	0.27	0.57
F27	13.6	ATL	Mouhamed Gueye	4.68	3.16	0.58	0.59	0.66	0.41
F28	13.4	LAC	Nicolas Batum	5.55	2.21	0.89	0.69	0.56	0.48
G35	11.5	CHA	Daquan Jeffries	5.61	1.67	0.86	0.57	0.34	0.59
G36	11.3	CHA	Josh Green	5.31	1.5	1.3	0.69	0.14	0.66
F29	9.7	DAL	Kessler Edwards	-	5.28	1.17	-	-	-
G37	9.1	CHA	Nick Smith	5.11	1.22	1.24	0.37	0.11	1.11
