EV	Parlay	BV Odds	Fair Value
-23.5	Christian McCaffrey to score anytime / SF 49ers to win	-130	113	Christian Mccaffrey -170 FD	SF ML -294 PN
-24.2	Brandon Aiyuk to score anytime / SF 49ers to win	+190	228	Brandon Aiyuk 145 PN	SF ML -294 PN
-33.0	George Kittle to score anytime / SF 49ers to win	+210	282	George Kittle 185 CZ	SF ML -294 PN
-38.7	Ray-Ray McCloud to score anytime / SF 49ers to win	+950	771	Ray Ray Mccloud 550 BV	SF ML -294 PN
-39.2	Elijah Mitchell to score anytime / SF 49ers to win	+185	286	Elijah Mitchell 188 KAMBI	SF ML -294 PN
-47.4	Jauan Jennings to score anytime / SF 49ers to win	+600	671	Jauan Jennings 475 PB	SF ML -294 PN
-53.6	Jordan Mason to score anytime / SF 49ers to win	+165	349	Jordan Mason 235 KAMBI	SF ML -294 PN
-67.4	Brock Purdy to score anytime / SF 49ers to win	+700	905	Brock Purdy 650 PB	SF ML -294 PN
-68.3	Kyle Juszczyk to score anytime / SF 49ers to win	+1100	1039	Kyle Juszczyk 750 KAMBI	SF ML -294 PN
-81.5	Alexander Mattison to score anytime / MIN Vikings to win	+500	995	Alexander Mattison 200 BV	MIN ML 265 FD
-91.8	T.J. Hockenson to score anytime / MIN Vikings to win	+600	1203	Tj Hockenson 257 PN	MIN ML 265 FD
-92.0	Jordan Addison to score anytime / MIN Vikings to win	+650	1214	Jordan Addison 260 FD	MIN ML 265 FD
-95.8	Ronnie Bell to score anytime / SF 49ers to win	+400	1240	Ronnie Bell 900 PB	SF ML -294 PN
